Teks_Asli,Cleaned_Message,Label_Validasi
"Pagi kk, jdi kek mne kk laptopnye?",pagi kk jdi kek mne kk laptopnye,lainnya
"Ok kk, terimakasih ya",ok kk terimakasih ya,lainnya
"Oiya kk, sore nya jam berapa ya?",oiya kk sore nya jam berapa ya,lainnya
Ok deh kk,ok deh kk,lainnya
"Ok kk, sbntr lagi kmi ambil",ok kk sbntr lagi kmi ambil,lainnya
Jadinya berapa bang ..klau nambah banyak ndk tu bang .,jadinya berapa bang klau nambah banyak ndk tu bang,lainnya
Bisa kurang ndk bang .,bisa kurang ndk bang,lainnya
Klau ndk bisa ndk JD lh bang .,klau ndk bisa ndk jd lh bang,lainnya
Duetnya tak cukup bang .,duetnya tak cukup bang,lainnya
Iya udh lh .,iya udh lh,lainnya
Iya.,iya,lainnya
Saya mau ambil jam 3 an tapi kira kira masih buka ga ya bang?,saya mau ambil jam an tapi kira kira masih buka ga ya bang,lainnya
Oh iyalah jam 3 saya ambil..,oh iyalah jam saya ambil,lainnya
Knp bang,knp bang,lainnya
Okey bang bentar lagi di ambil,okey bang bentar lagi di ambil,setuju
Brpa bg klau betulkn frame tuh,brpa bg klau betulkn frame tuh,lainnya
Ok bg,ok bg,lainnya
siang sy tnya org rmh dlu y,siang sy tnya org rmh dlu y,lainnya
mf kk nnti aj,mf kk nnti aj,lainnya
nnti sy ambil laptop ny y,nnti sy ambil laptop ny y,lainnya
Oke kk,oke kk,setuju
Besok saya ambil,besok saya ambil,lainnya
Ok,ok,lainnya
Malam kak,malam kak,lainnya
Pas abis dipakai kak,pas abis dipakai kak,lainnya
Jadi aman kah kak?,jadi aman kah kak,setuju
Alhamdulillah,alhamdulillah,lainnya
Besok saya coba kesana ya kak,besok saya coba kesana ya kak,lainnya
Alhamdulillah syukurlah kak klo bgitu🥹,alhamdulillah syukurlah kak klo bgitu,lainnya
Terimakasih yaa kk informasinyaa🙏🏻,terimakasih yaa kk informasinyaa,lainnya
oke bang,oke bang,setuju
waalaikumsalam,waalaikumsalam,lainnya
balek saye kuliah lah bang ngambil nye,balek saye kuliah lah bang ngambil nye,lainnya
tutup jam berape tapinye bang soalnye kamek balek malam,tutup jam berape tapinye bang soalnye kamek balek malam,lainnya
"baik kak terimakasih infonya, mungkin malam baru bisa saya ambil",baik kak terimakasih infonya mungkin malam baru bisa saya ambil,lainnya
"Waalaikumsalam, biarin jak bg,biayanya trllu besar,nnti klo turun,sy ambil",waalaikumsalam biarin jak bgbiayanya trllu besarnnti klo turunsy ambil,lainnya
Siap bang.,siap bang,lainnya
Waalalikumsalam.. ntar aja setelah magrib ya.. sekarang nanggung mau keluar🙏,waalalikumsalam ntar aja setelah magrib ya sekarang nanggung mau keluar,lainnya
Ok pak,ok pak,lainnya
Iya bang,iya bang,lainnya
Oke bang nnti sore saya ambil,oke bang nnti sore saya ambil,setuju
Oke... Ditunggu info lanjutan. Setelah cek ulang. TRIms 🙏,oke ditunggu info lanjutan setelah cek ulang trims,setuju
"Selamat pagii .. update kondisi laptop Lenovo yg saya titip kemarin.? Apakah bisa diperbaiki atau ada part yg hrs ganti?

TRIms 🙏",selamat pagii update kondisi laptop lenovo yg saya titip kemarin apakah bisa diperbaiki atau ada part yg hrs ganti trims,setuju
Yg laptop part gosong. Part nya bagian apa .?,yg laptop part gosong part nya bagian apa,lainnya
Utk LCD touchscreen mungkin tak apalah tak bisa diperbaiki atau diganti LCD nya,utk lcd touchscreen mungkin tak apalah tak bisa diperbaiki atau diganti lcd nya,setuju
Yang ini cari in dulu lah ya,yang ini cari in dulu lah ya,lainnya
Ok.info lanjutan ditunggu. Trims,okinfo lanjutan ditunggu trims,setuju
Ok.. besok saya ambil laptop nya. TRIms 🙏,ok besok saya ambil laptop nya trims,lainnya
Bg,bg,lainnya
Masih buka kan,masih buka kan,lainnya
Saya otw skng bg,saya otw skng bg,lainnya
"Sore kak, baik terimakasih kak saya konfirmasi dulu ya kak sama orang tua kalau laptopnya sudah selesai",sore kak baik terimakasih kak saya konfirmasi dulu ya kak sama orang tua kalau laptopnya sudah selesai,lainnya
Tutup nya sekitar jam berapa ya kak?,tutup nya sekitar jam berapa ya kak,lainnya
"Oiya baik kak, nanti hari ini diambil",oiya baik kak nanti hari ini diambil,lainnya
oke bang,oke bang,setuju
toko tutup jam brapa yaa,toko tutup jam brapa yaa,lainnya
tadi totalnya berapa bang,tadi totalnya berapa bang,lainnya
oke bang,oke bang,setuju
bang bise beso ke ngambil laptobnya,bang bise beso ke ngambil laptobnya,lainnya
oke bang beso ya saya ambilnya,oke bang beso ya saya ambilnya,setuju
tungguu yaa bang saya nanya orang tua duluu,tungguu yaa bang saya nanya orang tua duluu,lainnya
nanti saya konfirmasi kembali,nanti saya konfirmasi kembali,lainnya
lcd aman ke bang,lcd aman ke bang,setuju
700 itu udh sama lcd ke belom bang,itu udh sama lcd ke belom bang,lainnya
bercak bercak nye nd bisa hilang ke bang,bercak bercak nye nd bisa hilang ke bang,lainnya
okee lanjutkan service nya bang kalau udah selesai konfirmasi yaa,okee lanjutkan service nya bang kalau udah selesai konfirmasi yaa,setuju
sipp,sipp,lainnya
udah ke bang laptop nya?,udah ke bang laptop nya,lainnya
info jak ye kalau udh selesai,info jak ye kalau udh selesai,lainnya
"siang.
okei nanti saya ambil",siang okei nanti saya ambil,setuju
file aman ndaa bang?,file aman ndaa bang,setuju
iyaa bang konfirmasi lagi yaa,iyaa bang konfirmasi lagi yaa,lainnya
okelaa bang,okelaa bang,setuju
nanti saya ambil,nanti saya ambil,lainnya
Okeyy bg besok jak ya saya ambil,okeyy bg besok jak ya saya ambil,setuju
jdi mslah ny ap bang biaya ny brpa,jdi mslah ny ap bang biaya ny brpa,lainnya
benar la bang,benar la bang,lainnya
"waalaikumsalam, bise qris atau tf kh nnti byr ny min",waalaikumsalam bise qris atau tf kh nnti byr ny min,lainnya
okeee,okeee,setuju
Bang saya ambil hari minggu atau senin ya bang soal ny lagi ndk ada di ponti,bang saya ambil hari minggu atau senin ya bang soal ny lagi ndk ada di ponti,lainnya
Bang toko ny tutup jam berapa ya bang,bang toko ny tutup jam berapa ya bang,lainnya
Oke,oke,setuju
tutup JM brp bg,tutup jm brp bg,lainnya
Kosong bg,kosong bg,lainnya
Windows 11 kan ya?,windows kan ya,lainnya
Bg apakah sudah bisa di ambil?,bg apakah sudah bisa di ambil,lainnya
Pagi bg,pagi bg,lainnya
Apakah laptop sy sudah di lakukan pengecekan,apakah laptop sy sudah di lakukan pengecekan,lainnya
Mesin nya kenapa bg?,mesin nya kenapa bg,lainnya
Ganti mesin atau gimana bg?,ganti mesin atau gimana bg,setuju
Bg laptop nya sudah bisa kah?,bg laptop nya sudah bisa kah,lainnya
Sudah selesai service kah?,sudah selesai service kah,lainnya
Oklah bg,oklah bg,lainnya
InsyaAllah besok sy ambil bg,insyaallah besok sy ambil bg,lainnya
Baik senin berarti sy ambil bg,baik senin berarti sy ambil bg,lainnya
Jam brpa tutup tokonya bang,jam brpa tutup tokonya bang,lainnya
Bang sya sdh jln ksna,bang sya sdh jln ksna,lainnya
"Sbntr ya, sdh di ayani",sbntr ya sdh di ayani,lainnya
"Baru gitu kah bg depannya, nda pakai yang patah itu lagi ya bg",baru gitu kah bg depannya nda pakai yang patah itu lagi ya bg,lainnya
"Oke bg, ntr saya nanya ortu dulu ya bg",oke bg ntr saya nanya ortu dulu ya bg,setuju
Jadi kalau dengan cas ni 650 ya bg,jadi kalau dengan cas ni ya bg,lainnya
Ini nda bisa kurang lagi kah bg,ini nda bisa kurang lagi kah bg,lainnya
Oke ntr saya tanya ortu dulu ya bg,oke ntr saya tanya ortu dulu ya bg,setuju
Bg ada garansinya nda ya kalau udah ganti frame,bg ada garansinya nda ya kalau udah ganti frame,setuju
Boleh bg,boleh bg,setuju
"Alhamdulillah, cepat sekali bg, saya mungkin belum ambilnya bg, nanti pas mau ambil saya kabarin",alhamdulillah cepat sekali bg saya mungkin belum ambilnya bg nanti pas mau ambil saya kabarin,lainnya
Saya belum ambil bg,saya belum ambil bg,lainnya
Oke bang,oke bang,setuju
"2013
maaf baru aktif bang 🙏",maaf baru aktif bang,lainnya
oke,oke,setuju
Udah bise download ke bg,udah bise download ke bg,lainnya
Berapa bg,berapa bg,lainnya
Boleh,boleh,setuju
Ada garansi kah bg,ada garansi kah bg,lainnya
Tutup smpai jam berapa bg,tutup smpai jam berapa bg,lainnya
msih,msih,lainnya
Lama lgi gk kk,lama lgi gk kk,lainnya
Pengerjaan nya,pengerjaan nya,lainnya
Nnti malam atau besok bisa gak,nnti malam atau besok bisa gak,lainnya
Okey bg,okey bg,setuju
"Oke"". Toko tutup jam berape ?",oke toko tutup jam berape,setuju
Git toko buka jam berape ye ?,git toko buka jam berape ye,lainnya
"Bg nnti info ye bg kalau udah.
Saye yg tadi nih bg",bg nnti info ye bg kalau udah saye yg tadi nih bg,lainnya
Kalau bise cepat saye bayar lebih bg 😁🙏,kalau bise cepat saye bayar lebih bg,lainnya
Siap bg,siap bg,lainnya
Oke bg. Bentar lagi saya kesana,oke bg bentar lagi saya kesana,setuju
Ok,ok,lainnya
Dokumen yg di data D nya?,dokumen yg di data d nya,lainnya
"Waduh ada solusi lain gk ya? 
Bahan kerjaan disitu semua",waduh ada solusi lain gk ya bahan kerjaan disitu semua,lainnya
Laptop nya masih gk bisa hidup kah tanpa di instal?,laptop nya masih gk bisa hidup kah tanpa di instal,lainnya
Ini solusi nya di instal?,ini solusi nya di instal,lainnya
reskyka syahria,reskyka syahria,lainnya
belum kah bang,belum kah bang,lainnya
kire² sampai  jam berape lah  bg krne mo makai,kire sampai jam berape lah bg krne mo makai,lainnya
kira² jam 3an selesai nd bang,kira jam an selesai nd bang,lainnya
"permisi bang, mau nanya",permisi bang mau nanya,lainnya
"gerak bang, hanye kiri kanannye nd bise di tekan",gerak bang hanye kiri kanannye nd bise di tekan,lainnya
besok buka ke bang,besok buka ke bang,lainnya
oke besok saye kesana bang,oke besok saye kesana bang,setuju
waalaikumsalam,waalaikumsalam,lainnya
oh berarti ndak jadi ganti baterai lah ye bang?,oh berarti ndak jadi ganti baterai lah ye bang,batal
karena memang dari laptopnya yang ndak mumpuni?,karena memang dari laptopnya yang ndak mumpuni,lainnya
"oh iyalah bang, terima kasih yaa",oh iyalah bang terima kasih yaa,lainnya
besok saya ambil ya bang,besok saya ambil ya bang,lainnya
Apk Nya terapus semua nda bang,apk nya terapus semua nda bang,lainnya
okee bang,okee bang,setuju
Mungkin malam nanti saya ambil ya sebelum jam 9,mungkin malam nanti saya ambil ya sebelum jam,lainnya
Oo iya,oo iya,lainnya
Nanti saya ambil,nanti saya ambil,lainnya
"Siang, trimakasih nnti sy ambil🙏🏻",siang trimakasih nnti sy ambil,lainnya
Ok,ok,lainnya
Ok,ok,lainnya
malam masih buka gak,malam masih buka gak,lainnya
Boleh Bg,boleh bg,setuju
Berapa lama Bg,berapa lama bg,lainnya
Garansi endk Bg,garansi endk bg,lainnya
Oh boleh lh Bg,oh boleh lh bg,setuju
Ok terimakasih Bg,ok terimakasih bg,lainnya
Kemungkinan besok atau Senin lah Bg langsung kuliah,kemungkinan besok atau senin lah bg langsung kuliah,lainnya
Ok baik Bg,ok baik bg,lainnya
Bg bisa downlond kan Canva kh,bg bisa downlond kan canva kh,lainnya
Di leptop tu,di leptop tu,lainnya
Oh ok lh terimakasih ya Bg,oh ok lh terimakasih ya bg,lainnya
Bg,bg,lainnya
Malam ini tutup jam berapa,malam ini tutup jam berapa,lainnya
Besok bukak jam berapa Bg,besok bukak jam berapa bg,lainnya
Klok Ade motor malam ini saya ambil Bg,klok ade motor malam ini saya ambil bg,lainnya
Klok tk Ade besok lah ye Bg,klok tk ade besok lah ye bg,lainnya
Ruben3003,ruben,lainnya
Baik bang,baik bang,lainnya
Di titip di sana aja dl.. Gpp kan,di titip di sana aja dl gpp kan,lainnya
Selamat pagi.. Laptop saya udh di perbaiki kah,selamat pagi laptop saya udh di perbaiki kah,lainnya
Baik bang,baik bang,lainnya
Baik bang.. Tutup toko jam brp ya,baik bang tutup toko jam brp ya,lainnya
Baik.. Nnti saya ke sana ya,baik nnti saya ke sana ya,lainnya
Iya bg udh di pindahin,iya bg udh di pindahin,lainnya
Iya bg kosong local d aja yg di ambil,iya bg kosong local d aja yg di ambil,lainnya
Owalah,owalah,lainnya
Tdi tu ade mnta instal ulangkan kawan,tdi tu ade mnta instal ulangkan kawan,lainnya
Cmn die blg ndk bse,cmn die blg ndk bse,lainnya
Jdi bru ku bawa ke toko abg,jdi bru ku bawa ke toko abg,lainnya
Ndk ade saye buka agik setelah die pegangnye,ndk ade saye buka agik setelah die pegangnye,lainnya
Klo gtu gmne la bg,klo gtu gmne la bg,lainnya
Boleh bg ndk ape,boleh bg ndk ape,setuju
Okee,okee,setuju
Baik bg,baik bg,lainnya
Bsok bsa ambil ya?,bsok bsa ambil ya,lainnya
Oke bg,oke bg,setuju
Ndk bsa kek biasanye gtu ke,ndk bsa kek biasanye gtu ke,lainnya
Oke bg sudah bsa,oke bg sudah bsa,setuju
Ndk ade di apeapekan bg,ndk ade di apeapekan bg,lainnya
Ndk tau juga si bg,ndk tau juga si bg,lainnya
Jdi gmne,jdi gmne,lainnya
Hrus instalnulang lagi la ye ?,hrus instalnulang lagi la ye,lainnya
Besok buka bg ??,besok buka bg,lainnya
okee kk entar saya ambil,okee kk entar saya ambil,setuju
Assalamualaikum Toko buka ke bos?,assalamualaikum toko buka ke bos,lainnya
ayamayam,ayamayam,lainnya
OOO iyalah boleh di instal ulang aja,ooo iyalah boleh di instal ulang aja,setuju
Iye bang,iye bang,lainnya
Bang,bang,lainnya
Sanen Jak sy ambek ih,sanen jak sy ambek ih,lainnya
Balom sampat,balom sampat,lainnya
Bang,bang,lainnya
Bisa nda DVD nya tu,bisa nda dvd nya tu,lainnya
Bisa tf dana nd bang,bisa tf dana nd bang,lainnya
TF kmn bang,tf kmn bang,lainnya
Oke bang,oke bang,setuju
Gimana kondisi nya,gimana kondisi nya,lainnya
Iya,iya,lainnya
Makasi bang,makasi bang,lainnya
Siang buka kah,siang buka kah,lainnya
Okeei,okeei,setuju
Permisi Bang,permisi bang,lainnya
Mau nanya,mau nanya,lainnya
Kalo SSD berapa ya bang? Dan misal diganti SSD nya apakah ga lemot lagi?,kalo ssd berapa ya bang dan misal diganti ssd nya apakah ga lemot lagi,setuju
Soalnya masih lemot skrg,soalnya masih lemot skrg,lainnya
Laptopnya,laptopnya,lainnya
Laptop waktu itu bang yg downgrade ke windows 8 sama ganti keyboard,laptop waktu itu bang yg downgrade ke windows sama ganti keyboard,setuju
SSD tu supaya nda ngeleg kah,ssd tu supaya nda ngeleg kah,lainnya
Oh oke boleh bg,oh oke boleh bg,setuju
Ok,ok,lainnya
Ok malam mngkn sy ksna ambil,ok malam mngkn sy ksna ambil,lainnya
Okee aman,okee aman,setuju
"Ok 
Pembayaran bisa menggunakan qris/TF?",ok pembayaran bisa menggunakan qristf,lainnya
Mati lg laptopnya ni bang,mati lg laptopnya ni bang,lainnya
"Tutup jam brp ?
Hujan soalnya",tutup jam brp hujan soalnya,lainnya
D perdana,d perdana,lainnya
Buka jam brp ?,buka jam brp,lainnya
Bisa d kerjakan mlm ini lngsung kalo ad teknisinya ?,bisa d kerjakan mlm ini lngsung kalo ad teknisinya,setuju
"Ok
Bntar",ok bntar,lainnya
Ok,ok,lainnya
"Bng, gmn lptopny ?",bng gmn lptopny,lainnya
Masih suke mati k?,masih suke mati k,lainnya
Semoga bs sembuh bng y,semoga bs sembuh bng y,lainnya
"Bng, gmn lptop sy",bng gmn lptop sy,lainnya
Jd udh ndk bs d selamat kan lg laptopnya bng?,jd udh ndk bs d selamat kan lg laptopnya bng,lainnya
Berapaan bng?,berapaan bng,lainnya
"Yg abg blg kmren kalau lptop sy bnyak karatanny, gmn tu bng ?
Aman k kalo udh ganti mesinnya?",yg abg blg kmren kalau lptop sy bnyak karatanny gmn tu bng aman k kalo udh ganti mesinnya,setuju
"Okedeh
Besok sy antar lptopny bng",okedeh besok sy antar lptopny bng,setuju
"Bang, gmn lptopny?",bang gmn lptopny,lainnya
Ok,ok,lainnya
masih di kantor,masih di kantor,lainnya
kak udaa buka belum?,kak udaa buka belum,lainnya
oala oke kak besok saya antar laptop ya,oala oke kak besok saya antar laptop ya,setuju
permisi kak,permisi kak,lainnya
"ini saya yang kemarin malam datang yang masalah kursor delay, emng kalau habis di update untuk tingkat kecerahan layar hilang ya kak",ini saya yang kemarin malam datang yang masalah kursor delay emng kalau habis di update untuk tingkat kecerahan layar hilang ya kak,lainnya
mode malam nya juga gabisa di aktifin,mode malam nya juga gabisa di aktifin,lainnya
jauh bgt kak kalau bolak balik😭,jauh bgt kak kalau bolak balik,lainnya
saya di supadio soalnya,saya di supadio soalnya,lainnya
Min laptop nya atas nama Suwardana udah jadi kah min,min laptop nya atas nama suwardana udah jadi kah min,lainnya
Acer aspire warna merah,acer aspire warna merah,lainnya
Udah kah min,udah kah min,lainnya
Perkiraan kapan min,perkiraan kapan min,lainnya
Okee min,okee min,setuju
okee bang,okee bang,setuju
"oke bang, nda ad masalah lain kan?",oke bang nda ad masalah lain kan,setuju
sama harganya berapa bang?,sama harganya berapa bang,lainnya
"okay bang kalo begitu, ty",okay bang kalo begitu ty,lainnya
tutup jam berape bang?,tutup jam berape bang,lainnya
okay,okay,lainnya
"Wa'alaikumussalam, oke bang",waalaikumussalam oke bang,setuju
Oke bg saya lagi ga bisa ambil simpan kan dulu gapapa?,oke bg saya lagi ga bisa ambil simpan kan dulu gapapa,setuju
Oke bg terima kasih ya,oke bg terima kasih ya,setuju
Bg toko buka jam berapa?,bg toko buka jam berapa,lainnya
Mau ambil laptop,mau ambil laptop,lainnya
Oke bg,oke bg,setuju
Bg bisa tf?,bg bisa tf,lainnya
Tf kmna bg?,tf kmna bg,lainnya
Nanti di ambil lagi hujan,nanti di ambil lagi hujan,lainnya
Udh ya bg,udh ya bg,lainnya
"oke bg, bentar ya",oke bg bentar ya,setuju
iya kak,iya kak,lainnya
ntr kalau mau ambil saya kabarin ya kak,ntr kalau mau ambil saya kabarin ya kak,lainnya
"waalaikumsalam, okee bang nanti saya ambil yaa",waalaikumsalam okee bang nanti saya ambil yaa,setuju
Boleh bang,boleh bang,setuju
SULISTIA123,sulistia,lainnya
"Iya lah bang, nanti saya kesana 
Malam abng buka kah?",iya lah bang nanti saya kesana malam abng buka kah,lainnya
Boleh bang,boleh bang,setuju
Jadi untuk perbaikannya apa2 saja ya Bg?,jadi untuk perbaikannya apa saja ya bg,lainnya
Owh ok Bang,owh ok bang,lainnya
Nanti infokan saja,nanti infokan saja,lainnya
"Iya bang, asal datanya masih aman",iya bang asal datanya masih aman,setuju
Owh ok Bang,owh ok bang,lainnya
"Bang, untuk leptop nya bagaimana yaa?",bang untuk leptop nya bagaimana yaa,lainnya
"Masih lelet ngak bg, pas di instal ulang",masih lelet ngak bg pas di instal ulang,lainnya
"Soalnya dia klo buka file, atau mau ngetik di word suka loading lama bisa terbuka filenya",soalnya dia klo buka file atau mau ngetik di word suka loading lama bisa terbuka filenya,lainnya
Owh maksudnya itu penyebab suka loading ya Bg?,owh maksudnya itu penyebab suka loading ya bg,lainnya
Owh gituu,owh gituu,lainnya
"Klo misalnya diperbaiki, budget nya sekitar berapa ya Bg",klo misalnya diperbaiki budget nya sekitar berapa ya bg,lainnya
"Untuk perbaikannya, touchpad ya Bg?? Atau ada yg perlu diperbaiki lagi?",untuk perbaikannya touchpad ya bg atau ada yg perlu diperbaiki lagi,lainnya
"Untuk LCD nya, ngaruh ngak Bang, klo mau pake laptopnya?",untuk lcd nya ngaruh ngak bang klo mau pake laptopnya,lainnya
"Misalnya LCD diperbaiki/ganti, biayanya berapa Bang",misalnya lcd diperbaikiganti biayanya berapa bang,setuju
"Klo untuk cas kadang masuk kadang enggak itu gimana Bang, dr Laptopnya atau casannya yg rusak?",klo untuk cas kadang masuk kadang enggak itu gimana bang dr laptopnya atau casannya yg rusak,lainnya
Owh ok. Klo casannya ada jual juga kah Bang? Dan harganya berapaan?,owh ok klo casannya ada jual juga kah bang dan harganya berapaan,lainnya
Bang saya ganti touchpad dg beli casannya saja .. Bearti totalnya semuanya 450.000  sama perbaikannya? Atau berapa Bang?,bang saya ganti touchpad dg beli casannya saja bearti totalnya semuanya sama perbaikannya atau berapa bang,setuju
Owh ok.. Ganti itu saja Bang,owh ok ganti itu saja bang,setuju
"Ok Bang. klo sudah selesai diperbaiki, infokan saja ya Bang",ok bang klo sudah selesai diperbaiki infokan saja ya bang,lainnya
Owh sipp bg,owh sipp bg,lainnya
Ok bg,ok bg,lainnya
Ok sipp,ok sipp,lainnya
"Ok Bang, sekitar sore atau habis magrib ngambilnya",ok bang sekitar sore atau habis magrib ngambilnya,lainnya
"Klo ganti gimana bg, bayar lg atau gimana",klo ganti gimana bg bayar lg atau gimana,setuju
Sama casan lama tu dibalikkan kah?,sama casan lama tu dibalikkan kah,lainnya
Ok bg,ok bg,lainnya
"Mungkin blm  bisa hari ini Sy kesana bg, soalnya masih di kampung",mungkin blm bisa hari ini sy kesana bg soalnya masih di kampung,lainnya
Boleh bg.,boleh bg,setuju
Untk leptop Advan cuma itu aja ke bg perbaikannya?,untk leptop advan cuma itu aja ke bg perbaikannya,lainnya
Ok bg. Boleh,ok bg boleh,setuju
Leptop yg satunya gimana bg,leptop yg satunya gimana bg,lainnya
Ok,ok,lainnya
Iya Bg. Jadi perbaikannya gimana bg?,iya bg jadi perbaikannya gimana bg,lainnya
Itu aja kah bg perbaikannya?,itu aja kah bg perbaikannya,lainnya
Boleh bg. Nanti klo sudah selesai infokn saja,boleh bg nanti klo sudah selesai infokn saja,setuju
Owh Iya Bg,owh iya bg,lainnya
Habis Isya masih buka ndak Bg?,habis isya masih buka ndak bg,lainnya
Ok,ok,lainnya
Kalau dijual laku berpa tu bang,kalau dijual laku berpa tu bang,lainnya
Tapi itu masih bisa di paki ya bg,tapi itu masih bisa di paki ya bg,lainnya
Itu punya keluarga mau di buang Sya ambil dikira rusak kalau untuk kuliah masih bisa bang,itu punya keluarga mau di buang sya ambil dikira rusak kalau untuk kuliah masih bisa bang,lainnya
SDH beres y,sdh beres y,lainnya
Ok,ok,lainnya
Ok siap makasih bg,ok siap makasih bg,lainnya
"Boleh tu bang, kena berapa kira kira?",boleh tu bang kena berapa kira kira,setuju
"Waduh saya lagi diluar ni bang, tokonya buka sampai jam berapa bang?",waduh saya lagi diluar ni bang tokonya buka sampai jam berapa bang,lainnya
Ok sip,ok sip,lainnya
Dah same solder balek ke tuh bang?,dah same solder balek ke tuh bang,lainnya
Bise kurang ndk bang?,bise kurang ndk bang,lainnya
Ok boleh bang,ok boleh bang,setuju
Touchscreen bang,touchscreen bang,lainnya
Ok bentar lagi saye kesana,ok bentar lagi saye kesana,lainnya
Ok bg,ok bg,lainnya
Yang kipas aman bg,yang kipas aman bg,setuju
Tapi masih ok buat dipakai y bg,tapi masih ok buat dipakai y bg,lainnya
Siang bg,siang bg,lainnya
Baterainya gak bisa dicas,baterainya gak bisa dicas,lainnya
Apa ya kira2 kendalanya bg,apa ya kira kendalanya bg,lainnya
ohhhh,ohhhh,lainnya
ok bg,ok bg,lainnya
besok yaa bang,besok yaa bang,lainnya
0987 bang,bang,lainnya
layarnya aman kn bang,layarnya aman kn bang,setuju
"omagat makasih banyak bang, anak ku",omagat makasih banyak bang anak ku,lainnya
kapan itu kira-kira bisa diambil bg,kapan itu kirakira bisa diambil bg,lainnya
okey bang,okey bang,setuju
"oke bang, buka sampe jam berapa bg",oke bang buka sampe jam berapa bg,setuju
besok ye bang sya ambil,besok ye bang sya ambil,lainnya
bang pembayaran nya bisa tf ga,bang pembayaran nya bisa tf ga,lainnya
jadi besok saya tinggal ambil aja,jadi besok saya tinggal ambil aja,lainnya
bagi no rek nya bang,bagi no rek nya bang,lainnya
600 kan bang,kan bang,lainnya
nanti sore saya ambil laptop nya,nanti sore saya ambil laptop nya,lainnya
tekan ape ya,tekan ape ya,lainnya
pengaturan app nya yang mana bang,pengaturan app nya yang mana bang,lainnya
gapapa kh itu di hapus,gapapa kh itu di hapus,lainnya
okey bang makasih banyak🙏🏻,okey bang makasih banyak,setuju
"kan kemarin abg bilang buat bagi penyimpanan nya juga ke data D, tapi data D juga ada disitu ngaruh gak kira2 ke penyimpanan local disk C nya?",kan kemarin abg bilang buat bagi penyimpanan nya juga ke data d tapi data d juga ada disitu ngaruh gak kira ke penyimpanan local disk c nya,lainnya
jadii itu ga ngaruh ke local disk C kan bang,jadii itu ga ngaruh ke local disk c kan bang,lainnya
okey makasih banyak bang🙏🏻🧎‍♀️,okey makasih banyak bang,setuju
bang kok laptop saya gamau nyala lagi ya,bang kok laptop saya gamau nyala lagi ya,lainnya
okey habis magrib sya ke kesana ya🙏🏻,okey habis magrib sya ke kesana ya,setuju
bang laptop saya belum kah,bang laptop saya belum kah,lainnya
sya ada deadline tugas besok😞,sya ada deadline tugas besok,setuju
ha bolehkah seperti itu,ha bolehkah seperti itu,setuju
itu ambil ke toko langsung ke bg,itu ambil ke toko langsung ke bg,lainnya
okey habis magrib sya kesana ya makasih banyak bg🙏🏻,okey habis magrib sya kesana ya makasih banyak bg,setuju
bang laptop tadi gaada sandi kan,bang laptop tadi gaada sandi kan,lainnya
okelah bang makasih banyak🙏🏻,okelah bang makasih banyak,setuju
sudah aman kh itu bang,sudah aman kh itu bang,setuju
nyala cepat kan,nyala cepat kan,lainnya
okey nanti saya kesana,okey nanti saya kesana,setuju
jam berapa toko tutup,jam berapa toko tutup,lainnya
okey jam 7an sya kesana,okey jam an sya kesana,setuju
bang sya ambil nya nunggu hujan reda aja klo ga besok ya,bang sya ambil nya nunggu hujan reda aja klo ga besok ya,lainnya
sihap,sihap,lainnya
baik bang,baik bang,lainnya
Ohh gitu ya bangg,ohh gitu ya bangg,lainnya
Ohh ok bang mksehh infonyee🙏🙏,ohh ok bang mksehh infonyee,lainnya
Oke bang,oke bang,setuju
"Sore bang, saya jadi pesan baterai utk laptop Advan saya bang",sore bang saya jadi pesan baterai utk laptop advan saya bang,lainnya
Bolee bang,bolee bang,lainnya
Dana Jak ye bang,dana jak ye bang,lainnya
Brp ye bang DP ny?,brp ye bang dp ny,lainnya
Okee bang,okee bang,setuju
"Oke siap bang, makasih bang",oke siap bang makasih bang,setuju
Alaaa bangg,alaaa bangg,lainnya
Krm lwt dana no 087753659474 bang,krm lwt dana no bang,lainnya
"Okee bang, aman, makasih bang",okee bang aman makasih bang,setuju
Ndk bisa 300 kh ndk ush garansi soalnya sbntar lg sya plg ke sintang,ndk bisa kh ndk ush garansi soalnya sbntar lg sya plg ke sintang,lainnya
Nnti klu pas kponakan sya kluar sya sruh ambil,nnti klu pas kponakan sya kluar sya sruh ambil,lainnya
"Lupa nanya kmrn, klu ganti speaker laptop yg kmrn brp.",lupa nanya kmrn klu ganti speaker laptop yg kmrn brp,setuju
"Bisa servis kh, pecah suaranya.",bisa servis kh pecah suaranya,lainnya
"Owh iya bang boleh
Mau nnyk bang apa ad garansi nya?",owh iya bang boleh mau nnyk bang apa ad garansi nya,setuju
Owh iya bang,owh iya bang,lainnya
Iya bang jdi,iya bang jdi,lainnya
Okeee,okeee,setuju
Iya baik bang,iya baik bang,lainnya
Gitu ya bang jadi bang lep top nya ndk bisa di betul kan??,gitu ya bang jadi bang lep top nya ndk bisa di betul kan,lainnya
"Owh oke bang 
Kemungkinan bsk saya ambil lep top nya",owh oke bang kemungkinan bsk saya ambil lep top nya,setuju
"Iya baik bang 
Mksih",iya baik bang mksih,lainnya
