Message Body,Teks_Bersih,Label
Kok bse ganti ganti agi bng,kok bse ganti ganti agi bng,setuju
Ok bng,ok bng,setuju
Bsokla antar laptop ny bng blm sempat,bsokla antar laptop ny bng blm sempat,setuju
Ok sip,ok sip,setuju
"oke bang, nanti saya ambil sore",oke bang nanti saya ambil sore,setuju
"siap bang,nanti saya kesana,bisa transfer ga ya?",siap bangnanti saya kesanabisa transfer ga ya,setuju
"Besok saja bisa tidak bang, saya lagi ada urusan, jadi tidak bisa malam ini mengambilnya",besok saja bisa tidak bang saya lagi ada urusan jadi tidak bisa malam ini mengambilnya,setuju
Okee,okee,setuju
Ok otw,ok otw,setuju
Ao nanti sore saya ambil,ao nanti sore saya ambil,setuju
kak udh bisa diambil blm laptopnya???,kak udh bisa diambil blm laptopnya,setuju
oke,oke,setuju
"Baik Pak, akan saya ambil ya",baik pak akan saya ambil ya,setuju
Oke bang,oke bang,setuju
okee bang,okee bang,setuju
okee bang,okee bang,setuju
bsok buka ke bang ?,bsok buka ke bang,setuju
diambil bsok ya bang,diambil bsok ya bang,setuju
MLM saya ambil ya,mlm saya ambil ya,setuju
Iya bg,iya bg,setuju
"Okee bang, bentar lg ambil",okee bang bentar lg ambil,setuju
Gmna cra nya bg biar dia bsa wifi,gmna cra nya bg biar dia bsa wifi,setuju
"Oke bg terimakasih
Nnti saya ambl laptop nya",oke bg terimakasih nnti saya ambl laptop nya,setuju
Jam brapa tutup,jam brapa tutup,umum_teknis
Ok,ok,setuju
Ok... Masih,ok masih,setuju
okey bang,okey bang,setuju
malam ya,malam ya,setuju
"assalamualaikum kak, laptop saya lenovo ada-v14, 5 hari lalu ketumpahan air disekitar keyboard esc, 1, 2 3 sampai tombol power. hari ini muncul garis garis di bawah, kira kira ini ganti lcd berapa ya kak?",assalamualaikum kak laptop saya lenovo adav14 5 hari lalu ketumpahan air disekitar keyboard esc 1 2 3 sampai tombol power hari ini muncul garis garis di bawah kira kira ini ganti lcd berapa ya kak,setuju
"keyboard aman sih kak, masih work semua
itu lcdnya IPS atau bukan kak?",keyboard aman sih kak masih work semua itu lcdnya ips atau bukan kak,setuju
Oke bang,oke bang,setuju
Hari minggu buka ga tempat nya?,hari minggu buka ga tempat nya,setuju
Oke,oke,setuju
Bayarnya bisa qris ga?,bayarnya bisa qris ga,setuju
"Okee,sebentr lagi saya ambil ya",okeesebentr lagi saya ambil ya,setuju
"Bg balek sye dri mall jk ye sye ambek nye,mau buat tugas lain dlu soal nya",bg balek sye dri mall jk ye sye ambek nyemau buat tugas lain dlu soal nya,setuju
"Waalaikumsalam Balik dari kuliah bisa kah saya ambil ,di jam 12 atau 1an gitu lah",waalaikumsalam balik dari kuliah bisa kah saya ambil di jam 12 atau 1an gitu lah,setuju
Ok,ok,setuju
baik bg nnti saya ambil,baik bg nnti saya ambil,setuju
